,business_id,date,review_id,stars_x,text,user_id,address,categories,city,latitude,longitude,name,postal_code,review_count,stars_y,state,sentiments
181277,4CxF8c3MB7VAdY8zFb2cZQ,2016-10-13 23:56:59,o047kXCHybKL6vUYFcUOHg,3.0,"Innovative types of donuts but a bit priceyy (~3 per donut) Moreover, I think they make a lot of donuts ahead of time to meet demand but I'm partial to warm donuts and I couldn't get one of those here..",YP5RiJiv0nOpyo0tHYkdwA,22 SW 3rd Ave,"Local Flavor, Food, Donuts, Wedding Chapels, Event Planning & Services, Bakeries, Restaurants, Breakfast & Brunch",Portland,45.52261201140001,-122.67308361139999,Voodoo Doughnut - Old Town,97204,9185,3.5,OR,2
181352,4CxF8c3MB7VAdY8zFb2cZQ,2010-07-07 16:57:28,qfzCvVuGNarNFc1gYjLjKQ,3.0,"I was only in town for three days, and everyone was like ""YOU HAVE TO GET VOODOO DOUGHNUT"". Well, apparently everyone else's friends told them the same thing because the first time I went, the line was literally two blocks long. I would have felt like such a fat kid if I waited in a two-block line for a doughnut.

So then I tried to go after the bars, as I had heard Voodoo is 24 hours. It was closed. The universe did not want me to have these legendary doughnuts.

As I was leaving town I finally got one, but the selection was so overwhelming that I freaked out and just picked the first one that spun past me on that little rotating doughnut display, a Tang doughnut. It was unique, a little dry, nothing particularly special, but I'm glad I got to experience it, and wish I could go back to give it another try. I think it really does all just depend on what you get, so next time I'd spring for a dozen to sample a few more.",Be3R1Hex7TFYQoa264h7tQ,22 SW 3rd Ave,"Local Flavor, Food, Donuts, Wedding Chapels, Event Planning & Services, Bakeries, Restaurants, Breakfast & Brunch",Portland,45.52261201140001,-122.67308361139999,Voodoo Doughnut - Old Town,97204,9185,3.5,OR,2
181529,4CxF8c3MB7VAdY8zFb2cZQ,2017-12-02 22:27:19,_g_N9QYFQSGRL8cH-Rdmhg,5.0,I'm not a huge doughnut fan but this place made me want to believe again that there are better doughnuts in the world... everything I tasted was wonderful... if you ever in Portland Oregon check this place out... the lines do not lie.. it's worth the wait!!,QYFy-nNED8uxd-x2bHDRNA,22 SW 3rd Ave,"Local Flavor, Food, Donuts, Wedding Chapels, Event Planning & Services, Bakeries, Restaurants, Breakfast & Brunch",Portland,45.52261201140001,-122.67308361139999,Voodoo Doughnut - Old Town,97204,9185,3.5,OR,1
181535,4CxF8c3MB7VAdY8zFb2cZQ,2018-04-27 19:48:18,HpmHqbOg2RpVhBvXdcO0TA,2.0,"Overcrowded with tourists, doughnuts will be stale around 7pm... definitely a niche ""Portland"" Spot... doughnuts themselves are over sugared and mediocre at best",r2AZ_9Po7KCeKycJLEMS2A,22 SW 3rd Ave,"Local Flavor, Food, Donuts, Wedding Chapels, Event Planning & Services, Bakeries, Restaurants, Breakfast & Brunch",Portland,45.52261201140001,-122.67308361139999,Voodoo Doughnut - Old Town,97204,9185,3.5,OR,3
181562,4CxF8c3MB7VAdY8zFb2cZQ,2013-12-29 01:48:18,7ckhvc-FP_Lj1PMmRBBYTg,4.0,Saw it on the food channel and was super excited to get a chance to stop by. Pricey by very good. I got a maple bacon and a pepto bismol.,6x4UvPPj4KRs1VORhm1fNQ,22 SW 3rd Ave,"Local Flavor, Food, Donuts, Wedding Chapels, Event Planning & Services, Bakeries, Restaurants, Breakfast & Brunch",Portland,45.52261201140001,-122.67308361139999,Voodoo Doughnut - Old Town,97204,9185,3.5,OR,1
181608,4CxF8c3MB7VAdY8zFb2cZQ,2018-10-04 14:29:36,gkazeWXfFbr0pfcKougWzw,3.0,"Voodoo is one of those infamous places where everyone in line is probably from out of town and the food is expensive but you'll probably go for the experience of it all. I gotta give credit to this chain for their creativity and weirdness. From the minute you walk by the pink brick wall, you can't help but gravitate towards the lineup to see what all the fuss is about with these pink boxes. I ended up trying the voodoo doll and the dirty old bastard. Both were mediocre at best but IMO worth the experience. 3 stars for keeping things weird.",Q0DH5WigTWHN262T2zZfYw,22 SW 3rd Ave,"Local Flavor, Food, Donuts, Wedding Chapels, Event Planning & Services, Bakeries, Restaurants, Breakfast & Brunch",Portland,45.52261201140001,-122.67308361139999,Voodoo Doughnut - Old Town,97204,9185,3.5,OR,2
181611,4CxF8c3MB7VAdY8zFb2cZQ,2017-08-16 17:06:52,SwfKX6IXlPX3dOR6JXaouA,2.0,"Excited to try two huge boxes of a variety.  Waited in line, spent a lot of money.  I'm just a classics woman; not a fan of weird, soggy cereals and icings, but had to try the experience.  The grape one was particularly bad, and for our crowd, lots of ""bites"" taken but nobody felt it an OMG experience.  I guess the mistake is not eating these drunk, high, and late at night.",0PTLtIA2NwUlv5I80yaVTg,22 SW 3rd Ave,"Local Flavor, Food, Donuts, Wedding Chapels, Event Planning & Services, Bakeries, Restaurants, Breakfast & Brunch",Portland,45.52261201140001,-122.67308361139999,Voodoo Doughnut - Old Town,97204,9185,3.5,OR,3
181796,4CxF8c3MB7VAdY8zFb2cZQ,2010-10-06 21:18:00,ZaqAVHaA5bX6Pv_3u45Zgw,4.0,"I made the obligatory and highly-anticipated stop at Voodoo (twice!) during my trip to Portland.  I got to sample quite a few varieties and thoroughly enjoyed all of them!  I'm a donut snob so I take this very seriously.  The line was fairly long on a Saturday afternoon but was much more manageable on a weekday morning, but my one-star deduction is simply because of the line.  It's fun to stand there with all of these other random people who are there for donuts just like you are, but if you really want one now, it can be a problem since you may have to wait for a while.  On the bright side, they're open 24/7, and since I continually rant that most of the donut shops in Denver close before dinner, this pleased me greatly.  Be aware that they are cash only, though there is an ATM inside the store.  The place itself is a riot, with all sorts of goofy posters and trinkets all over the tiny store.  But nobody should care that much about the setting; we all know why we're here.  The Portland cream is the ""official donut"" of the city and it was probably the best custard-filled donut I've had.  The voodoo donut was creative and also tasty, though I'm not much for raspberry filling.  I skipped the maple bacon bar, though they are very popular.  My favorite was the raised donut with chocolate icing and Oreo bits, drizzled with peanut butter.  There's about a ten-way tie after that, since I liked every one I tried.  Mmm... I can't wait to go back and visit again!",QakBoAmJwtppBEybQxBvyg,22 SW 3rd Ave,"Local Flavor, Food, Donuts, Wedding Chapels, Event Planning & Services, Bakeries, Restaurants, Breakfast & Brunch",Portland,45.52261201140001,-122.67308361139999,Voodoo Doughnut - Old Town,97204,9185,3.5,OR,1
181803,4CxF8c3MB7VAdY8zFb2cZQ,2010-08-21 23:47:55,eeEUf6Nl4eLNwYYZ_SGUlA,5.0,"During my day trip in Portland, I knew that one necessity destination for me was going to have to be Voodoo Doughtnut.  Thankfully I chose a Monday afternoon to see the Beavers and do my touristy crap; when I got to Voodoo, there was less than a five minute wait for me.  Unfortunately, they happened to be out of Voodoo dolls, by that time of the day, so I ""settled"" for a Maple-Bacon doughnut.

Now I'm not a religious person, by any stretch of the imagination, but I'm pretty sure that I saw no less than four different religious deities after I was finished the Maple-Bacon.  Despite the fact that the Beavers are done after 2010, it's almost worth another trip to Portland for another Voodoo Doughnut.",uq_xDJi7cmZ9wLE8v3X4Bg,22 SW 3rd Ave,"Local Flavor, Food, Donuts, Wedding Chapels, Event Planning & Services, Bakeries, Restaurants, Breakfast & Brunch",Portland,45.52261201140001,-122.67308361139999,Voodoo Doughnut - Old Town,97204,9185,3.5,OR,1
181806,4CxF8c3MB7VAdY8zFb2cZQ,2016-03-07 07:12:47,6yNqQKAcAzlOlBVhQYspDg,3.0,It's better than Kripsy Kreme but it's still doughnuts. This turned out to be a hipster place. Long line for doughnuts shows us that Oregon has health issues,fzgqmRLw9B6ka5BqlXtQhA,22 SW 3rd Ave,"Local Flavor, Food, Donuts, Wedding Chapels, Event Planning & Services, Bakeries, Restaurants, Breakfast & Brunch",Portland,45.52261201140001,-122.67308361139999,Voodoo Doughnut - Old Town,97204,9185,3.5,OR,2
